Location,Rainfall (inches),Date,YEAR,MONTH,DAY
Tatooine,0.33,20100101,2010,1,1
Tatooine,0,20100102,2010,1,2
Tatooine,0.28,20100103,2010,1,3
Tatooine,0.26,20100104,2010,1,4
Tatooine,0.39,20100105,2010,1,5
Tatooine,0,20100106,2010,1,6
Tatooine,0,20100107,2010,1,7
Tatooine,0.21,20100108,2010,1,8
Tatooine,0,20100109,2010,1,9
Tatooine,0,20100110,2010,1,10
Tatooine,0.36,20100111,2010,1,11
Tatooine,0.27,20100112,2010,1,12
Tatooine,0.23,20100113,2010,1,13
Tatooine,0,20100114,2010,1,14
Tatooine,0.31,20100115,2010,1,15
Tatooine,0.34,20100116,2010,1,16
Tatooine,0.29,20100117,2010,1,17
Tatooine,0.34,20100118,2010,1,18
Tatooine,0,20100119,2010,1,19
Tatooine,0.35,20100120,2010,1,20
Tatooine,0.34,20100121,2010,1,21
Tatooine,0.37,20100122,2010,1,22
Tatooine,0.33,20100123,2010,1,23
Tatooine,0.31,20100124,2010,1,24
Tatooine,0,20100125,2010,1,25
Tatooine,0.29,20100126,2010,1,26
Tatooine,0,20100127,2010,1,27
Tatooine,0.27,20100128,2010,1,28
Tatooine,0,20100129,2010,1,29
Tatooine,0,20100130,2010,1,30
Tatooine,0.28,20100131,2010,1,31
Tatooine,0,20100201,2010,2,1
Tatooine,0.33,20100202,2010,2,2
Tatooine,0.25,20100203,2010,2,3
Tatooine,0.35,20100204,2010,2,4
Tatooine,0.32,20100205,2010,2,5
Tatooine,0,20100206,2010,2,6
Tatooine,0.29,20100207,2010,2,7
Tatooine,0.39,20100208,2010,2,8
Tatooine,0.25,20100209,2010,2,9
Tatooine,0.31,20100210,2010,2,10
Tatooine,0.23,20100211,2010,2,11
Tatooine,0,20100212,2010,2,12
Tatooine,0.37,20100213,2010,2,13
Tatooine,0.25,20100214,2010,2,14
Tatooine,0.27,20100215,2010,2,15
Tatooine,0.39,20100216,2010,2,16
Tatooine,0.31,20100217,2010,2,17
Tatooine,0.35,20100218,2010,2,18
Tatooine,0,20100219,2010,2,19
Tatooine,0.26,20100220,2010,2,20
Tatooine,0,20100221,2010,2,21
Tatooine,0.25,20100222,2010,2,22
Tatooine,0.33,20100223,2010,2,23
Tatooine,0.33,20100224,2010,2,24
Tatooine,0.27,20100225,2010,2,25
Tatooine,0.22,20100226,2010,2,26
Tatooine,0.22,20100227,2010,2,27
Tatooine,0.26,20100228,2010,2,28
Tatooine,0.28,20100301,2010,3,1
Tatooine,0.29,20100302,2010,3,2
Tatooine,0.3,20100303,2010,3,3
Tatooine,0,20100304,2010,3,4
Tatooine,0.39,20100305,2010,3,5
Tatooine,0.3,20100306,2010,3,6
Tatooine,0.33,20100307,2010,3,7
Tatooine,0.21,20100308,2010,3,8
Tatooine,0.35,20100309,2010,3,9
Tatooine,0.35,20100310,2010,3,10
Tatooine,0.21,20100311,2010,3,11
Tatooine,0.2,20100312,2010,3,12
Tatooine,0,20100313,2010,3,13
Tatooine,0.24,20100314,2010,3,14
Tatooine,0.37,20100315,2010,3,15
Tatooine,0.23,20100316,2010,3,16
Tatooine,0.39,20100317,2010,3,17
Tatooine,0.32,20100318,2010,3,18
Tatooine,0,20100319,2010,3,19
Tatooine,0,20100320,2010,3,20
Tatooine,0.27,20100321,2010,3,21
Tatooine,0,20100322,2010,3,22
Tatooine,0.26,20100323,2010,3,23
Tatooine,0.36,20100324,2010,3,24
Tatooine,0.35,20100325,2010,3,25
Tatooine,0.2,20100326,2010,3,26
Tatooine,0.33,20100327,2010,3,27
Tatooine,0,20100328,2010,3,28
Tatooine,0.35,20100329,2010,3,29
Tatooine,0.34,20100330,2010,3,30
Tatooine,0,20100331,2010,3,31
Tatooine,0,20100401,2010,4,1
Tatooine,0.35,20100402,2010,4,2
Tatooine,0.35,20100403,2010,4,3
Tatooine,0,20100404,2010,4,4
Tatooine,0,20100405,2010,4,5
Tatooine,0.35,20100406,2010,4,6
Tatooine,0,20100407,2010,4,7
Tatooine,0.38,20100408,2010,4,8
Tatooine,0,20100409,2010,4,9
Tatooine,0,20100410,2010,4,10
Tatooine,0,20100411,2010,4,11
Tatooine,0.39,20100412,2010,4,12
Tatooine,0,20100413,2010,4,13
Tatooine,0,20100414,2010,4,14
Tatooine,0.21,20100415,2010,4,15
Tatooine,0.21,20100416,2010,4,16
Tatooine,0.29,20100417,2010,4,17
Tatooine,0,20100418,2010,4,18
Tatooine,0.21,20100419,2010,4,19
Tatooine,0.27,20100420,2010,4,20
Tatooine,0.28,20100421,2010,4,21
Tatooine,0.32,20100422,2010,4,22
Tatooine,0,20100423,2010,4,23
Tatooine,0.26,20100424,2010,4,24
Tatooine,0.28,20100425,2010,4,25
Tatooine,0,20100426,2010,4,26
Tatooine,0,20100427,2010,4,27
Tatooine,0.2,20100428,2010,4,28
Tatooine,0.28,20100429,2010,4,29
Tatooine,0.39,20100430,2010,4,30
Tatooine,0,20100501,2010,5,1
Tatooine,0,20100502,2010,5,2
Tatooine,0,20100503,2010,5,3
Tatooine,0.26,20100504,2010,5,4
Tatooine,0.39,20100505,2010,5,5
Tatooine,0,20100506,2010,5,6
Tatooine,0.37,20100507,2010,5,7
Tatooine,0,20100508,2010,5,8
Tatooine,0,20100509,2010,5,9
Tatooine,0.33,20100510,2010,5,10
Tatooine,0,20100511,2010,5,11
Tatooine,0.36,20100512,2010,5,12
Tatooine,0.38,20100513,2010,5,13
Tatooine,0.25,20100514,2010,5,14
Tatooine,0.24,20100515,2010,5,15
Tatooine,0,20100516,2010,5,16
Tatooine,0,20100517,2010,5,17
Tatooine,0.36,20100518,2010,5,18
Tatooine,0.31,20100519,2010,5,19
Tatooine,0.3,20100520,2010,5,20
Tatooine,0.2,20100521,2010,5,21
Tatooine,0.39,20100522,2010,5,22
Tatooine,0,20100523,2010,5,23
Tatooine,0,20100524,2010,5,24
Tatooine,0,20100525,2010,5,25
Tatooine,0,20100526,2010,5,26
Tatooine,0,20100527,2010,5,27
Tatooine,0.23,20100528,2010,5,28
Tatooine,0.38,20100529,2010,5,29
Tatooine,0,20100530,2010,5,30
Tatooine,0.36,20100531,2010,5,31
Tatooine,0.02,20100601,2010,6,1
Tatooine,0.05,20100602,2010,6,2
Tatooine,0,20100603,2010,6,3
Tatooine,0.1,20100604,2010,6,4
Tatooine,0,20100605,2010,6,5
Tatooine,0,20100606,2010,6,6
Tatooine,0.01,20100607,2010,6,7
Tatooine,0,20100608,2010,6,8
Tatooine,0.04,20100609,2010,6,9
Tatooine,0,20100610,2010,6,10
Tatooine,0.09,20100611,2010,6,11
Tatooine,0.03,20100612,2010,6,12
Tatooine,0,20100613,2010,6,13
Tatooine,0.04,20100614,2010,6,14
Tatooine,0,20100615,2010,6,15
Tatooine,0,20100616,2010,6,16
Tatooine,0.03,20100617,2010,6,17
Tatooine,0.03,20100618,2010,6,18
Tatooine,0.02,20100619,2010,6,19
Tatooine,0,20100620,2010,6,20
Tatooine,0.03,20100621,2010,6,21
Tatooine,0.09,20100622,2010,6,22
Tatooine,0.04,20100623,2010,6,23
Tatooine,0.03,20100624,2010,6,24
Tatooine,0.03,20100625,2010,6,25
Tatooine,0.06,20100626,2010,6,26
Tatooine,0,20100627,2010,6,27
Tatooine,0.01,20100628,2010,6,28
Tatooine,0.09,20100629,2010,6,29
Tatooine,0,20100630,2010,6,30
Tatooine,0.0,20100701,2010,7,1
Tatooine,0.1,20100702,2010,7,2
Tatooine,0.1,20100703,2010,7,3
Tatooine,0.06,20100704,2010,7,4
Tatooine,0,20100705,2010,7,5
Tatooine,0.02,20100706,2010,7,6
Tatooine,0,20100707,2010,7,7
Tatooine,0.01,20100708,2010,7,8
Tatooine,0.06,20100709,2010,7,9
Tatooine,0.03,20100710,2010,7,10
Tatooine,0,20100711,2010,7,11
Tatooine,0,20100712,2010,7,12
Tatooine,0,20100713,2010,7,13
Tatooine,0,20100714,2010,7,14
Tatooine,0.05,20100715,2010,7,15
Tatooine,0.07,20100716,2010,7,16
Tatooine,0,20100717,2010,7,17
Tatooine,0.06,20100718,2010,7,18
Tatooine,0,20100719,2010,7,19
Tatooine,0.09,20100720,2010,7,20
Tatooine,0.07,20100721,2010,7,21
Tatooine,0.03,20100722,2010,7,22
Tatooine,0.09,20100723,2010,7,23
Tatooine,0.05,20100724,2010,7,24
Tatooine,0.06,20100725,2010,7,25
Tatooine,0.09,20100726,2010,7,26
Tatooine,0,20100727,2010,7,27
Tatooine,0,20100728,2010,7,28
Tatooine,0.02,20100729,2010,7,29
Tatooine,0.03,20100730,2010,7,30
